Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";Connaissance;"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée";"Présence d'un contour valide"
2018;8474;34;34135;Lespignan;"2018-02-27 17:03:00";Indéterminé;3;3810;;3810;;;;;;;;;1;1;3;1;Probable;Forestier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8484;34;34193;Pardailhan;"2018-02-27 13:29:00";Indéterminé;3;27560;27560;;;;;;;;;;1;1;3;3;Probable;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;8496;2B;2B205;Patrimonio;"2018-03-09 18:08:00";Indéterminé;;20;;20;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8497;26;26165;Livron-sur-Drôme;"2018-03-08 14:36:00";Population;3;27500;2700;24800;;;;;;;0;;;2;3;3;Certaine;Forestier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8500;07;07147;Malarce-sur-la-Thines;"2018-02-24 20:13:00";Population;3;40000;;40000;;;;;;;;;1;1;3;1;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;30;S;;;Non
2018;8513;13;13098;Saint-Mitre-les-Remparts;"2018-01-06 19:32:00";Population;3;3000;3000;;;;;;;;;;;1;2;1;Certaine;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8514;04;04244;Volonne;"2018-02-27 00:21:00";Indéterminé;;230;;;;;;;;;230;;;;;1;Certaine;Forestier;Accidentelle;Non;Non;;;;;;;;;Non
2018;8540;04;04047;Champtercier;"2018-03-14 11:36:00";Indéterminé;;20000;;20000;;;;;;;;;;;;1;Certaine;Forestier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8543;04;04022;Barrême;"2018-03-14 13:15:00";Indéterminé;;100;100;;;;;;;;;;;;;4;Probable;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8578;2B;2B328;Tox;"2018-01-09 17:14:00";Indéterminé;;40;;40;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8613;83;83051;Entrecasteaux;"2018-03-22 16:18:00";Population;3;1000;1000;;;;;;;;;;;1;3;4;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8618;04;04142;Oppedette;"2018-03-23 14:19:00";Indéterminé;;1600;;1300;;;;;;;300;;;;;3;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8622;06;06049;Courmes;"2018-03-21 13:29:00";Population;3;1110;;1110;;;;;;;;;;1;3;1;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;;;;;;Non
2018;8623;06;06058;Escragnolles;"2018-03-21 13:42:00";Population;6;8780;;8780;;;;;;;0;;1;4;3;1;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;;;;;;Non
2018;8624;06;06041;Cipières;"2018-03-22 11:13:00";Population;3;2310;2310;;;;;;;;;;;3;3;3;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8629;2B;2B049;Calenzana;"2018-03-22 11:03:00";Indéterminé;;2000;;2000;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8645;34;34043;Buzignargues;"2018-03-23 14:12:00";Population;3;7619;;7619;;;;;;;;;1;1;3;1;Probable;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8653;07;07284;Saint-Pierre-Saint-Jean;"2018-03-21 12:44:00";Population;3;2500;2500;;;;;;;;;;1;4;3;5;Inconnue;;;Non;Non;;;;;;N;;;Non
2018;8658;07;07050;Chambonas;"2018-03-21 12:04:00";Population;3;40000;40000;;;;;;;;;;1;4;;4;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;N;;;Non
2018;8659;07;07334;"Vans (Les)";"2018-03-22 14:18:00";Population;3;5000;;5000;;;;;;;;;1;4;1;1;Probable;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8660;07;07280;Saint-Paul-le-Jeune;"2018-03-22 18:40:00";Population;3;2000;2000;;;;;;;;;;;3;3;4;;;;Non;Non;;;;;;;;;Non
2018;8662;07;07048;Chalencon;"2018-03-25 14:11:00";Population;3;3000;;3000;;;;;;;;;1;1;3;1;Inconnue;;;Non;Non;;;;;0;;;;Non
2018;8663;06;06062;Fontan;"2018-03-25 15:09:00";Population;3;90000;20000;70000;;;;;;;;;1;4;3;1;Certaine;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8670;34;34268;Saint-Jean-de-la-Blaquière;"2018-03-28 19:40:00";Population;3;2586;;2586;;;;;;;;;1;2;3;1;Probable;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;8672;34;34286;Saint-Privat;"2018-03-29 19:43:00";Population;3;1224;;1224;;;;;;;;;;1;3;1;Probable;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8682;06;06109;"Roquette-sur-Var (La)";"2018-03-27 14:42:00";Population;3;9700;1200;8500;;;;;;;;;;4;3;1;Certaine;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8683;04;04049;Château-Arnoux-Saint-Auban;"2018-02-26 11:00:00";Indéterminé;;140;;140;;;;;;;;;;;;1;Certaine;Forestier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8684;04;04004;Allemagne-en-Provence;"2018-03-21 13:41:00";Indéterminé;;450;;450;;;;;;;;;;;;1;Certaine;Forestier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8688;04;04206;Sigonce;"2018-03-29 16:26:00";Indéterminé;;800;500;;;;;;;;300;;;;;1;Certaine;"Service de police et de gendarmerie";Accidentelle;Non;Non;;;;;;;;;Non
2018;8694;05;05111;Puy-Sanières;"2018-03-26 16:19:00";Population;3;40000;;;;;;;;;;;1;2;3;;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8710;83;83127;Signes;"2018-04-02 14:00:00";Population;3;2;2;;;;;;;;;;;4;2;4;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8718;34;34130;Laurens;"2018-03-22 17:47:00";Indéterminé;3;786;;786;;;;;;;;;;4;3;1;Probable;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8723;34;34092;Cruzy;"2018-03-23 13:11:00";Indéterminé;3;29550;;29550;;;;;;;;;1;2;3;1;Probable;Forestier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8724;34;34097;Félines-Minervois;"2018-03-23 14:08:00";Indéterminé;3;637;;637;;;;;;;;;;4;3;1;Probable;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;8725;34;34097;Félines-Minervois;"2018-03-23 15:43:00";Indéterminé;3;7474;;7474;;;;;;;;;1;4;3;1;Probable;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;8732;34;34103;Fontès;"2018-03-31 15:14:00";Population;3;49084;20000;29084;;;;;;;;;1;4;3;3;Certaine;Coordinateur;Malveillance;Oui;Non;;;;;;;;;Non
2018;8735;06;06120;Saint-Étienne-de-Tinée;"2018-04-01 14:56:00";Population;3;5000;;5000;;;;;;;;;;2;2;1;Certaine;Sapeur-pompier;Accidentelle;Non;Non;;;;;;;;;Non
2018;8736;06;06101;Rigaud;"2018-04-01 15:46:00";Population;3;15000;;15000;;;;;;;;;1;3;3;1;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8738;2B;2B281;Sisco;"2018-03-27 15:52:00";Indéterminé;;1500;;1500;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8739;2B;2B229;Pietroso;"2018-03-29 16:36:00";Indéterminé;;15000;;200;;;;;;;14800;;;;;1;;;;Non;Non;;;;;;;;;Non
